slice_idx,mse_hop0_D50_to_D20,mse_hop0_D50_to_D20_raw,mse_hop1_D20_to_D10,mse_hop1_D20_to_D10_raw,mse_hop2_D10_to_D4,mse_hop2_D10_to_D4_raw,mse_hop3_D4_to_NORMAL,mse_hop3_D4_to_NORMAL_raw,psnr_hop0_D50_to_D20,psnr_hop0_D50_to_D20_raw,psnr_hop1_D20_to_D10,psnr_hop1_D20_to_D10_raw,psnr_hop2_D10_to_D4,psnr_hop2_D10_to_D4_raw,psnr_hop3_D4_to_NORMAL,psnr_hop3_D4_to_NORMAL_raw
7197,0.00017149194900412112,0.00017149194900412112,6.602321082027629e-05,6.602321082027629e-05,4.336759593570605e-05,4.336759593570605e-05,2.4585779101471417e-05,2.4585779101471417e-05,33.28207026455029,33.28207026455029,37.38470755365606,37.38470755365606,39.20575783293532,39.20575783293532,41.696255627073086,41.696255627073086
7198,0.00024075957480818033,0.00024075957480818033,8.933432400226593e-05,8.933432400226593e-05,5.497006350196898e-05,5.497006350196898e-05,2.9109396564308554e-05,2.9109396564308554e-05,31.75787908940409,31.75787908940409,36.063714452354745,36.063714452354745,38.173933651770355,38.173933651770355,40.96059945838117,40.96059945838117
7199,0.0003744008718058467,0.0003744008718058467,0.0001398191088810563,0.0001398191088810563,0.00010260954877594486,0.00010260954877594486,4.46226003987249e-05,4.46226003987249e-05,31.644372399248134,31.644372399248134,36.86160915889867,36.86160915889867,37.93326322527017,37.93326322527017,41.02623319923872,41.02623319923872
7200,0.00034514893195591867,0.00034514893195591867,0.000134169589728117,0.000134169589728117,8.397066267207265e-05,8.397066267207265e-05,4.6152908907970414e-05,4.6152908907970414e-05,30.31401286841984,30.31401286841984,34.33521777425709,34.33521777425709,36.350553609499656,36.350553609499656,38.94375228555779,38.94375228555779
7201,0.00024776867940090597,0.00024776867940090597,9.41153775784187e-05,9.41153775784187e-05,6.0442074754973873e-05,6.0442074754973873e-05,4.173060733592138e-05,4.173060733592138e-05,32.54044587955259,32.54044587955259,36.77206894172771,36.77206894172771,38.28618062870602,38.28618062870602,40.58698317654814,40.58698317654814
7202,8.490830077789724e-05,8.490830077789724e-05,4.0921975596575066e-05,4.0921975596575066e-05,2.3137559765018523e-05,2.3137559765018523e-05,1.513259849161841e-05,1.513259849161841e-05,36.298796469016565,36.298796469016565,39.457878558201855,39.457878558201855,41.94159614085255,41.94159614085255,43.81340936446409,43.81340936446409
7203,1.972397427607575e-07,1.972397427607575e-07,1.2431142693003494e-07,1.2431142693003494e-07,8.786714289499287e-08,8.786714289499287e-08,1.6783890544047608e-07,1.6783890544047608e-07,64.17689865378253,64.17689865378253,65.69980422421192,65.69980422421192,68.00912731638924,68.00912731638924,65.74586277727596,65.74586277727596
7204,4.25256132530194e-08,4.25256132530194e-08,4.082200177890627e-08,4.082200177890627e-08,4.3258953752456364e-08,4.3258953752456364e-08,5.2871570233037346e-08,5.2871570233037346e-08,71.88056114795222,71.88056114795222,71.99973920803357,71.99973920803357,71.6579002089443,71.6579002089443,70.80445617319086,70.80445617319086
7205,2.0048630176461302e-05,2.0048630176461302e-05,7.585330422443803e-06,7.585330422443803e-06,4.810286554857157e-06,4.810286554857157e-06,4.0218542380898725e-06,4.0218542380898725e-06,42.66575821041202,42.66575821041202,46.89453082548559,46.89453082548559,48.92816677534044,48.92816677534044,49.818539174727405,49.818539174727405
7206,4.3160489440197125e-05,4.3160489440197125e-05,1.638656249269843e-05,1.638656249269843e-05,1.0931356882792898e-05,1.0931356882792898e-05,5.61986871616682e-06,5.61986871616682e-06,39.23769075753232,39.23769075753232,43.448357637073,43.448357637073,45.20774034731724,45.20774034731724,48.18591459936282,48.18591459936282
7207,0.00011095630907220766,0.00011095630907220766,3.845088212983683e-05,3.845088212983683e-05,2.1512234525289387e-05,2.1512234525289387e-05,1.1212098797841463e-05,1.1212098797841463e-05,35.16384362202099,35.16384362202099,39.75581887964066,39.75581887964066,42.29670575933157,42.29670575933157,45.20345225586385,45.20345225586385
7208,1.2243921219123877e-06,1.2243921219123877e-06,1.2297094542645937e-07,1.2297094542645937e-07,9.504605458232618e-08,9.504605458232618e-08,9.729975545269554e-07,9.729975545269554e-07,56.426993029056675,56.426993029056675,65.66278042984138,65.66278042984138,67.55647768120991,67.55647768120991,57.73149339329002,57.73149339329002
7209,0.0004121204256080091,0.0004121204256080091,0.00015863042790442705,0.00015863042790442705,9.602845238987356e-05,9.602845238987356e-05,6.868915079394355e-05,6.868915079394355e-05,30.174386372914615,30.174386372914615,34.23880759871507,34.23880759871507,36.155151578521725,36.155151578521725,37.63666751222742,37.63666751222742
