slice_idx,hop_idx_in_batch,psnr_ceil,psnr_transport,attackable_gap_dB,psnr_transport_vs_ceil,latent_l2_rel
562,0,42.259408962510335,31.82292881419679,10.436480148313546,32.398888295942626,0.036146768084284284
563,0,43.84705267017246,30.785248955308724,13.061803714863736,30.944442439071302,0.02048829522211854
564,0,49.91666710044255,37.479233524611374,12.437433575831179,37.714323534886326,0.020027121212892893
565,0,52.09301910396435,40.6166194060326,11.476399697931754,40.96988905965322,0.013183537392387003
566,0,46.29120737186226,34.76925431347142,11.521953058390835,35.244918092055855,0.030420140634619442
567,0,58.094713677591145,49.61607899998256,8.478634677608582,51.654669621492616,0.013352598514442416
568,0,44.29889900236742,31.65387467433525,12.645024328032171,31.832904385037253,0.019681264364746633
569,0,45.26809162551464,32.08584289197191,13.182248733542735,32.23799353624601,0.02354061676201525
570,0,45.55850570411596,32.64984234072966,12.908663363386296,32.871844606616435,0.027043201315200653
571,0,50.71125784932829,38.40883772538349,12.302420123944799,38.631803097389025,0.016164119950486923
572,0,43.84004205665906,30.84312277429697,12.99691928236209,31.082311454564685,0.022817183103554742
573,0,40.93317658994033,27.799763833947168,13.133412755993163,27.93007652005969,0.02571807306008544
574,0,50.276658537143305,38.36285098451849,11.913807552624817,38.67678221874697,0.012124082314910623
575,0,47.91034902116411,36.854531639761476,11.055817381402633,37.37377876014075,0.04629155099964252
576,0,46.91132353700705,34.56553611675371,12.345787420253338,34.7577588467535,0.028442045624575776
577,0,42.82525299000166,29.713570250135948,13.11168273986571,29.799762863577875,0.017416020733413015
578,0,50.08011154127753,38.38299509693327,11.69711644434426,38.68014490860956,0.016083138158493337
579,0,45.67324239941314,32.75918140462629,12.914060994786851,33.037330211335075,0.03634322623348067
580,0,42.0500597089699,28.909393871565676,13.140665837404221,29.075489539065785,0.026168488810999806
581,0,40.66900847433045,27.51838613021319,13.150622344117256,27.647101042502594,0.02664873429177919
582,0,44.83060792356508,34.49153058551107,10.339077338054011,34.8990569507625,0.061529861260137486
583,0,41.24646183628532,27.710153376889107,13.536308459396214,27.791159088579835,0.01932091247093068
584,0,49.10510475385563,38.615335866883385,10.489768886972243,39.1735187765518,0.05749283147782022
585,0,41.6717174175252,28.3262236091442,13.345493808381,28.53701574807913,0.034840176030230374
586,0,43.5761081316753,32.195253395990434,11.380854735684863,32.7204397031491,0.03680064925179088
587,0,50.428248079585316,37.6734809130369,12.754767166548419,37.850739664153224,0.008854991569217758
