model,sample_id,slice_idx,hop_idx,src,dst,q_pullback_mse_sum,q_pullback_mse_mean,e_true_mse_sum,e_true_mse_mean,l_latent_sum,l_latent_mean,sqrt_q_over_sqrt_e,delta_norm,jdelta_norm,true_pixel_delta_norm
A4,0,322,0,D50,D20,56.079341888427734,0.0011176526313647628,54.78403854370117,0.00109183753374964,21.3704833984375,0.00010869590187212452,1.0117528398877877,4.622822016737991,7.488614150056587,7.401624047714202
A4,1,1064,0,D50,D20,27.181785583496094,0.0005417288048192859,27.76525115966797,0.0005533571820706129,40.114402770996094,0.00020403240341693163,0.9894370938640313,6.333593195887789,5.213615404256061,5.269274253601531
A4,2,2029,0,D50,D20,28.98073387145996,0.0005775815807282925,27.830644607543945,0.0005546604515984654,31.77406883239746,0.00016161127132363617,1.020453117172695,5.636849193689455,5.38337569480897,5.275475770728546
A4,3,2833,0,D50,D20,70.065185546875,0.001396388397552073,67.64372253417969,0.0013481290079653263,55.64807891845703,0.0002830407756846398,1.017741276394514,7.459763998844537,8.370494940376883,8.224580386510894
A4,4,4561,0,D50,D20,50.08889389038086,0.0009982639458030462,51.69245910644531,0.0010302227456122637,13.226956367492676,6.72757814754732e-05,0.9843671774087572,3.636888280864931,7.077350767793049,7.189746804056824
A4,5,5002,0,D50,D20,17.748191833496094,0.00035371872945688665,17.490999221801758,0.00034859293373301625,29.649656295776367,0.00015080595039762557,1.0073253116670307,5.445149795531466,4.212860291238732,4.182224195544968
A4,6,7162,0,D50,D20,203.7910919189453,0.004061525221914053,170.4665985107422,0.0033973732497543097,129.526123046875,0.0006588039686903358,1.093384594424921,11.380954399648344,14.275541738194923,13.056285785426963
A4,7,7368,0,D50,D20,250.0921630859375,0.004984298255294561,242.5684356689453,0.004834351595491171,96.03890991210938,0.0004884791560471058,1.015390036791727,9.799944383113068,15.814302484963967,15.574608684295901
A4,8,1003,3,D4,NORMAL,21.299060821533203,0.0004244870215188712,20.72709083557129,0.00041308774962089956,41.22114944458008,0.00020966160809621215,1.0137037463402017,6.420369883782404,4.615090553990593,4.552701487641298
A4,9,1730,3,D4,NORMAL,4.866095542907715,9.698054054751992e-05,4.844842910766602,9.655697795096785e-05,5.626676559448242,2.8618756914511323e-05,1.0021909251285626,2.3720616685592812,2.205922832491589,2.201100386344658
A4,10,2103,3,D4,NORMAL,12.601759910583496,0.00025115112657658756,12.475997924804688,0.0002486447338014841,12.043038368225098,6.125406071078032e-05,1.0050275193944171,3.4703081085438363,3.5498957605236097,3.53213786888404
A4,11,3587,3,D4,NORMAL,22.3422908782959,0.0004452784196473658,20.64034080505371,0.0004113588365726173,25.426918029785156,0.0001293279929086566,1.040412158642395,5.042511083754319,4.726763256002558,4.543164184250192
A4,12,5049,3,D4,NORMAL,37.56780242919922,0.0007487205439247191,37.57518768310547,0.0007488677510991693,9.527082443237305,4.845724834012799e-05,0.9999017221565227,3.086597227245127,6.129257901997534,6.129860331451726
A4,13,5318,3,D4,NORMAL,41.44964599609375,0.0008260851027444005,41.58780288696289,0.0008288385579362512,32.327964782714844,0.00016442853666376323,0.9983375916327833,5.685768618464424,6.438139948470656,6.448860588271613
A4,14,6155,3,D4,NORMAL,0.004266475327312946,8.503020154648766e-08,0.003919669426977634,7.8118411295236e-08,0.37785324454307556,1.9218609850213397e-06,1.0433016602638292,0.6146976854870007,0.06531826182097122,0.06260726337237266
A4,15,6535,3,D4,NORMAL,11.262693405151367,0.000224463758058846,11.020944595336914,0.00021964573534205556,34.23277282714844,0.00017411689623259008,1.0109082047065223,5.850877953533849,3.355993653920008,3.31978080531485
