sample_id,slice_idx,dst,direction_idx,top_patchgrid_energy_frac,random_patchgrid_energy_frac,top_minus_random,top_over_random
4,4561,D20,1,0.3041223504915005,0.41438858741477447,-0.11026623692327397,0.7339061927086687
4,4561,D20,2,0.25500558009907925,0.40733115922749924,-0.15232557912841999,0.6260399537877132
4,4561,D20,3,0.2790061766552871,0.40909262207715286,-0.13008644542186576,0.6820122427010378
4,4561,D20,4,0.33336525731693456,0.43307796278562233,-0.09971270546868777,0.7697580712088865
4,4561,D20,5,0.33640567569277047,0.415766211517284,-0.07936053582451352,0.8091222094866783
4,4561,D20,6,0.3047983862545242,0.41609634218182096,-0.11129795592729674,0.7325187831652146
4,4561,D20,7,0.404157345992695,0.41326616688419615,-0.009108820891501168,0.9779589484419284
5,5002,D20,0,0.25495411765055537,0.35882069480783385,-0.10386657715727848,0.7105334818748285
5,5002,D20,1,0.27614264144240164,0.3529123121388585,-0.07676967069645685,0.782468142776921
5,5002,D20,2,0.2506369253473085,0.38567022833235887,-0.13503330298505034,0.6498736665027648
5,5002,D20,3,0.37423497223618996,0.3712962615585322,0.0029387106776577743,1.0079147327401639
5,5002,D20,4,0.3693674199362917,0.3568624465746063,0.012504973361685379,1.0350414381835806
5,5002,D20,5,0.47070189507843907,0.3884571840437524,0.08224471103468667,1.2117214313776814
5,5002,D20,6,0.40206866189450724,0.3879908064219977,0.01407785547250956,1.036283992402639
5,5002,D20,7,0.3731714310614808,0.3816468990749941,-0.008475468013513288,0.977792383394034
6,7162,D20,0,0.3219529341934982,0.4096806193166386,-0.08772768512314039,0.7858632286060463
6,7162,D20,1,0.38891561780728207,0.4442610641508873,-0.05534544634360522,0.8754213438681904
6,7162,D20,2,0.29119347447587085,0.4101992944703645,-0.11900581999449367,0.7098829237428359
6,7162,D20,3,0.42683243255049785,0.42343699316187483,0.0033954393886230227,1.008018759445812
6,7162,D20,4,0.38708283399765087,0.45559083077711754,-0.06850799677946667,0.8496282362342321
6,7162,D20,5,0.43619897292150245,0.43998349432060363,-0.0037845213991011817,0.9913984923344795
6,7162,D20,6,0.42373345801371143,0.43127145571157854,-0.007537997697867116,0.9825214546475612
6,7162,D20,7,0.3618876887523808,0.40626550658607,-0.044377817833689215,0.8907664640136327
7,7368,D20,0,0.2884768024148233,0.4078530835837257,-0.11937628116890237,0.7073056794864312
7,7368,D20,1,0.2865105348754209,0.3974592005364437,-0.1109486656610228,0.7208552085062383
7,7368,D20,2,0.29412754363178417,0.41325796800314607,-0.1191304243713619,0.7117286692692275
7,7368,D20,3,0.30478153001221703,0.411998163320862,-0.10721663330864495,0.7397642930142259
7,7368,D20,4,0.3518744641008269,0.42310018012166045,-0.07122571602083355,0.8316575615724083
7,7368,D20,5,0.34973607999434003,0.41322053335549275,-0.06348445336115272,0.8463666535502553
7,7368,D20,6,0.30282076050779283,0.3883371234162743,-0.08551636290848147,0.7797883391724746
7,7368,D20,7,0.4228655246333762,0.42125046766056345,0.0016150569728127229,1.003833958883849
8,1003,NORMAL,0,0.2870145233982367,0.37427094639920405,-0.08725642300096736,0.7668629535889807
8,1003,NORMAL,1,0.33499076409716566,0.4141339886300951,-0.07914322453292943,0.8088946410925468
8,1003,NORMAL,2,0.2780981091894412,0.39570186696510135,-0.11760375777566012,0.7027970611368581
8,1003,NORMAL,3,0.2941371674860792,0.41297090029488653,-0.11883373280880732,0.7122467158728308
8,1003,NORMAL,4,0.2345106545077114,0.36863747200483615,-0.13412681749712474,0.6361552265219388
8,1003,NORMAL,5,0.37651661948277493,0.38197515901114776,-0.00545853952837283,0.9857097002263083
8,1003,NORMAL,6,0.4182912564507768,0.39063110219488667,0.027660154255890135,1.0708088887456033
8,1003,NORMAL,7,0.4438019142145755,0.39328095646380357,0.05052095775077192,1.1284602188853294
9,1730,NORMAL,0,0.27606239464429844,0.37162796957184063,-0.0955655749275422,0.7428461182896297
9,1730,NORMAL,1,0.2880558088089458,0.3820333658857324,-0.09397755707678657,0.7540069390041299
9,1730,NORMAL,2,0.40549028950882765,0.40816145387824015,-0.0026711643694125042,0.9934556182509842
9,1730,NORMAL,3,0.40810134627276895,0.409801653244917,-0.001700306972148069,0.9958509026045049
9,1730,NORMAL,4,0.45202538082117893,0.4063605741660016,0.04566480665517736,1.1123750913801074
9,1730,NORMAL,5,0.4388386520119989,0.42468654668651334,0.014152105325485553,1.0333236487849757
9,1730,NORMAL,6,0.5235907835306766,0.3977410301595216,0.12584975337115495,1.3164112923443692
