slice_idx,mse_hop0_D50_to_D20,mse_hop0_D50_to_D20_raw,mse_hop1_D20_to_D10,mse_hop1_D20_to_D10_raw,mse_hop2_D10_to_D4,mse_hop2_D10_to_D4_raw,mse_hop3_D4_to_NORMAL,mse_hop3_D4_to_NORMAL_raw,psnr_hop0_D50_to_D20,psnr_hop0_D50_to_D20_raw,psnr_hop1_D20_to_D10,psnr_hop1_D20_to_D10_raw,psnr_hop2_D10_to_D4,psnr_hop2_D10_to_D4_raw,psnr_hop3_D4_to_NORMAL,psnr_hop3_D4_to_NORMAL_raw
3234,0.0017102094134315848,0.0017102094134315848,0.0007374999113380909,0.0007374999113380909,0.0005751948338001966,0.0005751948338001966,0.0003990464028902352,0.0003990464028902352,33.17222880634128,33.17222880634128,35.85494612506767,35.85494612506767,37.37709556882666,37.37709556882666,38.30468310039173,38.30468310039173
3235,0.0004330988449510187,0.0004330988449510187,0.00017577820108272135,0.00017577820108272135,0.00010030248813563958,0.00010030248813563958,6.165419472381473e-05,6.165419472381473e-05,29.34797352575352,29.34797352575352,33.28984837407958,33.28984837407958,35.696137818618524,35.696137818618524,37.68821861442124,37.68821861442124
3236,5.670180689776316e-05,5.670180689776316e-05,2.0988800315535627e-05,2.0988800315535627e-05,1.4214415386959445e-05,1.4214415386959445e-05,7.5711755016527604e-06,7.5711755016527604e-06,38.058177043069406,38.058177043069406,42.40151906502177,42.40151906502177,44.114920101117505,44.114920101117505,46.937280841214644,46.937280841214644
3237,0.0015706380363553762,0.0015706380363553762,0.0005105188465677202,0.0005105188465677202,0.0003583626530598849,0.0003583626530598849,0.0002184878394473344,0.0002184878394473344,24.24605659112723,24.24605659112723,28.640685406006273,28.640685406006273,30.135999574937347,30.135999574937347,32.20762714458496,32.20762714458496
3238,5.852194226463325e-05,5.852194226463325e-05,2.038240563706495e-05,2.038240563706495e-05,1.3376838069234509e-05,1.3376838069234509e-05,7.785110028635245e-06,7.785110028635245e-06,37.92478035920041,37.92478035920041,42.52611466468014,42.52611466468014,44.376561973043394,44.376561973043394,46.843089124788975,46.843089124788975
3239,0.0005107069737277925,0.0005107069737277925,0.00017380630015395582,0.00017380630015395582,0.00010657631355570629,0.00010657631355570629,7.087945414241403e-05,7.087945414241403e-05,28.495701835754016,28.495701835754016,33.17275083098352,33.17275083098352,35.2990797195439,35.2990797195439,37.08340109206193,37.08340109206193
3240,0.0004561443638522178,0.0004561443638522178,0.0001675124658504501,0.0001675124658504501,0.00010006332740886137,0.00010006332740886137,6.54393297736533e-05,6.54393297736533e-05,28.978294645108434,28.978294645108434,33.32902083699321,33.32902083699321,35.56897324180656,35.56897324180656,37.42994149358871,37.42994149358871
3241,0.0021597889717668295,0.0021597889717668295,0.000858729297760874,0.000858729297760874,0.0006653505843132734,0.0006653505843132734,0.0005032747867517173,0.0005032747867517173,32.01922745009694,32.01922745009694,35.12041774737064,35.12041774737064,36.17713864528685,36.17713864528685,37.137399922509516,37.137399922509516
3242,0.00014916484360583127,0.00014916484360583127,5.496148150996305e-05,5.496148150996305e-05,3.6236302548786625e-05,3.6236302548786625e-05,2.3107490051188506e-05,2.3107490051188506e-05,33.839772502322575,33.839772502322575,38.19446590538936,38.19446590538936,39.99746558475803,39.99746558475803,41.969805951850745,41.969805951850745
3243,0.00012100297317374498,0.00012100297317374498,5.26787007402163e-05,5.26787007402163e-05,3.61664715455845e-05,3.61664715455845e-05,2.0066836441401392e-05,2.0066836441401392e-05,34.74723453489882,34.74723453489882,38.36592009599492,38.36592009599492,40.002045367906746,40.002045367906746,42.59534583944199,42.59534583944199
3244,0.000140851188916713,0.000140851188916713,5.427152063930407e-05,5.427152063930407e-05,3.307923907414079e-05,3.307923907414079e-05,2.090098860207945e-05,2.090098860207945e-05,34.088123762525214,34.088123762525214,38.23819942995492,38.23819942995492,40.39323963729559,40.39323963729559,42.41444856176362,42.41444856176362
3245,0.000711186439730227,0.000711186439730227,0.0002674987190403044,0.0002674987190403044,0.0001720326254144311,0.0001720326254144311,0.00013253113138489425,0.00013253113138489425,28.48950134074413,28.48950134074413,32.66003169255194,32.66003169255194,34.48644256147071,34.48644256147071,36.55852018989171,36.55852018989171
3246,0.0001007584942271933,0.0001007584942271933,4.4903255911776796e-05,4.4903255911776796e-05,3.0507435440085828e-05,3.0507435440085828e-05,1.4609940990339965e-05,1.4609940990339965e-05,35.54711419187782,35.54711419187782,39.071609896300444,39.071609896300444,40.74880760511823,40.74880760511823,43.97896678396819,43.97896678396819
3247,0.0009324856800958514,0.0009324856800958514,0.0003003657329827547,0.0003003657329827547,0.00019407317449804395,0.00019407317449804395,8.905505819711834e-05,8.905505819711834e-05,27.127613751080673,27.127613751080673,31.353312636659638,31.353312636659638,33.08929502546715,33.08929502546715,36.324549738462856,36.324549738462856
3248,0.001758403261192143,0.001758403261192143,0.0007404025527648628,0.0007404025527648628,0.00042030258919112384,0.00042030258919112384,0.0002702951314859092,0.0002702951314859092,23.985163724473455,23.985163724473455,27.542166600917948,27.542166600917948,29.63897080591916,29.63897080591916,31.482624250176894,31.482624250176894
3249,7.994936458999291e-05,7.994936458999291e-05,3.795525844907388e-05,3.795525844907388e-05,2.1406187443062663e-05,2.1406187443062663e-05,1.1736492524505593e-05,1.1736492524505593e-05,36.56129585771255,36.56129585771255,39.79805927561138,39.79805927561138,42.2944775519297,42.2944775519297,44.93071858263551,44.93071858263551
3250,0.0017231901874765754,0.0017231901874765754,0.0005629610968753695,0.0005629610968753695,0.00034492279519326985,0.00034492279519326985,0.00023525135475210845,0.00023525135475210845,24.364011470925384,24.364011470925384,28.460983182544926,28.460983182544926,30.498209124086912,30.498209124086912,32.092137715879666,32.092137715879666
3251,0.00032199861016124487,0.00032199861016124487,0.00010927605035249144,0.00010927605035249144,6.672777089988813e-05,6.672777089988813e-05,4.465015445020981e-05,4.465015445020981e-05,30.490632996015542,30.490632996015542,35.18673329210863,35.18673329210863,37.33188923242394,37.33188923242394,39.092854095319154,39.092854095319154
3252,0.00164677610155195,0.00164677610155195,0.0005849799490533769,0.0005849799490533769,0.00036333006573840976,0.00036333006573840976,0.00021204187942203134,0.00021204187942203134,24.289469212443667,24.289469212443667,28.414002297347,28.414002297347,30.18471599226829,30.18471599226829,32.47169066592562,32.47169066592562
3253,0.0012509027728810906,0.0012509027728810906,0.00036473976797424257,0.00036473976797424257,0.00022993962920736521,0.00022993962920736521,0.00015358995005954057,0.00015358995005954057,25.76705431534339,25.76705431534339,30.346886789781244,30.346886789781244,32.08428195780249,32.08428195780249,33.742708684772815,33.742708684772815
3254,0.0005945040611550212,0.0005945040611550212,0.00018937178538180888,0.00018937178538180888,0.00012122353655286133,0.00012122353655286133,7.224500586744398e-05,7.224500586744398e-05,28.198870995326384,28.198870995326384,33.13265698307255,33.13265698307255,34.85488866527372,34.85488866527372,37.03213379645251,37.03213379645251
3255,0.0014757247408851981,0.0014757247408851981,0.0005358845228329301,0.0005358845228329301,0.0003332768683321774,0.0003332768683321774,0.00021476180700119585,0.00021476180700119585,24.299217496688424,24.299217496688424,28.54187242400259,28.54187242400259,30.52113975150961,30.52113975150961,32.37976339800932,32.37976339800932
3256,0.00016976833285298198,0.00016976833285298198,5.538887489819899e-05,5.538887489819899e-05,3.872566230711527e-05,3.872566230711527e-05,2.2386962882592343e-05,2.2386962882592343e-05,33.27609495122519,33.27609495122519,38.14614556735451,38.14614556735451,39.704481732866,39.704481732866,42.11272273118419,42.11272273118419
3257,0.00010691845091059804,0.00010691845091059804,3.621745781856589e-05,3.621745781856589e-05,2.5354267563670874e-05,2.5354267563670874e-05,1.6303367374348454e-05,1.6303367374348454e-05,35.29296976366094,35.29296976366094,40.0156133359912,40.0156133359912,41.55623482985408,41.55623482985408,43.4858384067352,43.4858384067352
