timepoint,metric,role,direction,n,V13_mean,A4_mean,delta_A4_minus_V13_mean,delta_pct_vs_V13,delta_blkCI_lo,delta_blkCI_hi,win_rate_A4_better,V13_source_csv,A4_source_csv
D4,ssim,training-aligned,higher_better,7403,0.9537434051862266,0.9586472784556619,0.004903873269435251,0.5141711326934657,0.004771565562743056,0.00503265108443508,0.9950020262055923,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D4,ms_ssim,independent,higher_better,7403,0.9822518841955897,0.983643417565803,0.001391533370213173,0.14166767125651913,0.0013244697371479887,0.0014573800709504177,0.9775766581115763,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D4,nrmse,independent,lower_better,7403,0.01992352416541792,0.0191795429784787,-0.0007439811869392206,-3.7341846791873268,-0.0007679419183536317,-0.0007181576550327838,0.935971903282453,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D4,rmse,independent,lower_better,7403,0.05977057249652905,0.057538628907830215,-0.0022319435886988385,-3.7341847258171237,-0.0023038257497450102,-0.0021544729696846066,0.935971903282453,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D4,mae,training-aligned,lower_better,7403,0.015388704976187198,0.014592211244462163,-0.0007964937317250331,-5.175833398310931,-0.0008249370929121577,-0.000768355231250969,0.9927056598676213,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D4,seam,training-aligned,lower_better,7403,0.021686306645862578,0.01671010025333901,-0.004976206392523568,-22.946306504768312,-0.005178094552035937,-0.004778482069443328,0.9975685532892071,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D4,ext_seam,supporting_gt_seam,lower_better,7403,0.011035885791999732,0.010017864525566997,-0.001018021266432734,-9.224644814381191,-0.0010570341897843591,-0.0009796293570781193,0.9967580710522761,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
NORMAL,psnr,independent,higher_better,7403,36.494330325459096,36.893917226812135,0.3995869013530403,1.0949287130069116,0.38640904357055983,0.4139135279645391,0.9357017425368094,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
NORMAL,ssim,training-aligned,higher_better,7403,0.9580035340813355,0.9623434936921371,0.00433995961080157,0.4530212526787091,0.004189964774803098,0.004492418705572475,0.9893286505470755,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
NORMAL,ms_ssim,independent,higher_better,7403,0.9828857757603012,0.9843468196034898,0.001461043843188578,0.14864838613199,0.0013817863229758543,0.0015400501293317953,0.9673105497771174,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
NORMAL,nrmse,independent,lower_better,7403,0.01902450381450584,0.01820972191880674,-0.0008147818956990994,-4.282802346087171,-0.0008428541075100259,-0.0007842900176963844,0.9357017425368094,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
NORMAL,rmse,independent,lower_better,7403,0.057073511433390435,0.0546291657402074,-0.0024443456931830376,-4.282802357510093,-0.0025285623405183126,-0.0023528700913353654,0.9357017425368094,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
NORMAL,mae,training-aligned,lower_better,7403,0.014632785894835498,0.013822183265654148,-0.0008106026291813513,-5.5396329516954514,-0.0008426764805871173,-0.0007783593974468253,0.9846008374983115,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
NORMAL,seam,training-aligned,lower_better,7403,0.02135506964240968,0.016552189650162693,-0.004802879992246984,-22.490584543488442,-0.00499870329745724,-0.004611829856309912,0.9963528299338106,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
NORMAL,ext_seam,supporting_gt_seam,lower_better,7403,0.010044480595129324,0.008924355652117449,-0.001120124943011874,-11.151646243958444,-0.0011657584327021888,-0.0010749622621238175,0.9954072673240578,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
